country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","01-05-2024 21:00:00",16.5150833,80.5181667,PM2.5,5,83,31
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","01-05-2024 21:00:00",16.5150833,80.5181667,SO2,10,15,12
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","01-05-2024 21:00:00",14.675886,77.593027,PM2.5,24,67,46
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","01-05-2024 21:00:00",14.465052,78.824187,PM10,19,119,53
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","01-05-2024 21:00:00",16.9872867,81.7363176,PM10,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","01-05-2024 21:00:00",13.67,79.35,CO,34,57,47
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","01-05-2024 21:00:00",16.536107,80.594233,NH3,4,4,4
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","01-05-2024 21:00:00",16.486692,80.699436,PM2.5,46,99,56
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","01-05-2024 21:00:00",16.486692,80.699436,PM10,50,110,62
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","01-05-2024 21:00:00",16.486692,80.699436,SO2,2,11,7
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","01-05-2024 21:00:00",16.486692,80.699436,CO,38,38,38
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","01-05-2024 21:00:00",16.509717,80.612222,NO2,37,53,44
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","01-05-2024 21:00:00",17.72,83.3,PM2.5,20,64,44
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","01-05-2024 21:00:00",27.103358,93.679645,NO2,3,3,3
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","01-05-2024 21:00:00",26.071318,91.87488,PM10,41,127,90
India,Assam,Guwahati,"IITG, Guwahati - PCBA","01-05-2024 21:00:00",26.2028636,91.70046436,OZONE,11,44,20
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","01-05-2024 21:00:00",26.10887,91.589544,NO2,19,81,47
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","01-05-2024 21:00:00",26.187500,91.744194,PM2.5,20,88,38
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","01-05-2024 21:00:00",26.181742,91.78063,CO,12,112,40
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","01-05-2024 21:00:00",26.349082,92.68449,NO2,1,39,8
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","01-05-2024 21:00:00",26.446912,91.439057,PM2.5,42,160,61
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","01-05-2024 21:00:00",26.446912,91.439057,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA","01-05-2024 21:00:00",24.82827,92.79525,PM2.5,20,31,25
